   0.00 MiB	base                	Minimal package set to define a basic Arch Linux installation
   0.00 MiB	plasma-meta         	Meta package to install KDE Plasma
   0.02 MiB	xorg-sessreg        	Register X sessions in system utmp/utmpx databases
   0.02 MiB	xorg-xbacklight     	RandR-based backlight control application
   0.02 MiB	xorg-xcursorgen     	Create an X cursor file from PNG images
   0.02 MiB	xorg-xdriinfo       	Query configuration information of DRI drivers
   0.02 MiB	xorg-xgamma         	Alter a monitor's gamma correction
   0.02 MiB	xorg-xhost          	Server access control program for X
   0.02 MiB	xorg-xkill          	Kill a client by its X resource
   0.02 MiB	xorg-xlsatoms       	List interned atoms defined on server
   0.02 MiB	xorg-xlsclients     	List client applications running on a display
   0.02 MiB	xorg-xrefresh       	Refresh all or part of an X screen
   0.02 MiB	xorg-xsetroot       	Classic X utility to set your root window background to a given pattern or color
   0.02 MiB	xorg-xvinfo         	Prints out the capabilities of any video adaptors associated with the display that are accessible through the X-Video extension
   0.03 MiB	acpi                	Client for battery, power, and thermal readings
   0.03 MiB	expac               	alm data (pacman database) extraction utility
   0.03 MiB	xf86-video-vesa     	X.org vesa video driver
   0.03 MiB	xorg-setxkbmap      	Set the keyboard using the X Keyboard Extension
   0.03 MiB	xorg-smproxy        	Allows X applications that do not support X11R6 session management to participate in an X11R6 session
   0.03 MiB	xorg-xdpyinfo       	Display information utility for X
   0.03 MiB	xorg-xev            	Print contents of X events
   0.03 MiB	xorg-xinit          	X.Org initialisation program
   0.04 MiB	signon-kwallet-extension	KWallet integration for signon framework
   0.04 MiB	xorg-bdftopcf       	Convert X font from Bitmap Distribution Format to Portable Compiled Format
   0.04 MiB	xorg-iceauth        	ICE authority file utility
   0.04 MiB	xorg-xcmsdb         	Device Color Characterization utility for X Color Management System
   0.04 MiB	xorg-xkbevd         	XKB event daemon
   0.04 MiB	xorg-xrdb           	X server resource database utility
   0.04 MiB	xorg-xset           	User preference utility for X
   0.04 MiB	xorg-xwd            	X Window System image dumping utility
   0.04 MiB	xorg-xwud           	X Window System image undumping utility
   0.05 MiB	tldr                	Command line client for tldr, a collection of simplified and community-driven man pages.
   0.05 MiB	xorg-mkfontscale    	Create an index of scalable font files for X
   0.05 MiB	xorg-xauth          	X.Org authorization settings program
   0.05 MiB	xorg-xmodmap        	Utility for modifying keymaps and button mappings
   0.05 MiB	xorg-xprop          	Property displayer for X
   0.05 MiB	xorg-xwininfo       	Command-line utility to print information about windows on an X server
   0.06 MiB	kdesdk-thumbnailers 	Plugins for the thumbnailing system
   0.06 MiB	xorg-xinput         	Small commandline tool to configure devices
   0.06 MiB	xorg-xkbutils       	XKB utility demos
   0.06 MiB	xorg-xpr            	Print an X window dump from xwd
   0.07 MiB	xorg-xrandr         	Primitive command line interface to RandR extension
   0.08 MiB	efibootmgr          	Linux user-space application to modify the EFI Boot Manager
   0.08 MiB	svgpart             	A KPart for viewing SVGs
   0.08 MiB	traceroute          	Tracks the route taken by packets over an IP network
   0.09 MiB	cmatrix             	A curses-based scrolling 'Matrix'-like screen
   0.09 MiB	sshfs               	FUSE client based on the SSH File Transfer Protocol
   0.09 MiB	tree                	A directory listing program displaying a depth indented list of files
   0.10 MiB	pacman-contrib      	Contributed scripts and tools for pacman systems
   0.12 MiB	ffmpegthumbs        	FFmpeg-based thumbnail creator for video files
   0.12 MiB	kdegraphics-thumbnailers	Thumbnailers for various graphics file formats
   0.12 MiB	xorg-server-common  	Xorg server common files
   0.13 MiB	markdownpart        	KPart for rendering Markdown content
   0.19 MiB	qtkeychain-qt5      	Provides support for secure credentials storage
   0.22 MiB	python-pyalsa       	Python binding for the ALSA library
   0.22 MiB	xorg-xkbcomp        	X Keyboard description compiler
   0.23 MiB	xorg-font-util      	X.Org font utilities
   0.23 MiB	xorg-x11perf        	Simple X server performance benchmarker
   0.25 MiB	bpytop              	Resource monitor that shows usage and stats for processor, memory, disks, network and processes
   0.25 MiB	pulseaudio-bluetooth	Bluetooth support for PulseAudio
   0.26 MiB	kaccounts-providers 	Small system to administer web accounts for the sites and services across the KDE desktop, including: Google, Facebook, Owncloud, IMAP, Jabber and others
   0.31 MiB	unzip               	For extracting and viewing files in .zip archives
   0.31 MiB	vi                  	The original ex/vi text editor
   0.33 MiB	neofetch            	A CLI system information tool written in BASH that supports displaying images.
   0.38 MiB	kio-gdrive          	KIO Slave to access Google Drive
   0.38 MiB	vnstat              	A console-based network traffic monitor
   0.40 MiB	mtools              	A collection of utilities to access MS-DOS disks
   0.41 MiB	rmlint              	Tool to remove duplicates and other lint, being much faster than fdupes
